"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","26:66:e5:c8:d1:bd","Broadcast","ARP","42","Who has 10.0.0.4?  Tell 10.0.0.2"
"2","1.160678000","10.0.0.2","224.0.0.251","MDNS","82","Standard query 0x0000  PTR _googlecast._tcp.local, ""QM"" question"
"3","1.165764000","10.0.0.2","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"4","1.168896000","10.0.0.2","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"5","1.428297000","10.0.0.2","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"6","2.163746000","10.0.0.2","224.0.0.251","MDNS","82","Standard query 0x0000  PTR _googlecast._tcp.local, ""QM"" question"
"7","2.167134000","10.0.0.2","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"8","3.168450000","10.0.0.2","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"9","3.801796000","26:66:e5:c8:d1:bd","Broadcast","ARP","42","Who has 10.0.0.1?  Tell 10.0.0.2"
"10","3.801809000","02:b9:a7:07:50:ac","26:66:e5:c8:d1:bd","ARP","42","10.0.0.1 is at 02:b9:a7:07:50:ac"
"11","3.802625000","10.0.0.2","10.0.0.1","TCP","74","57228 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=66926 TSecr=0 WS=512"
"12","3.802647000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57228 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=66926 TSecr=66926 WS=512"
"13","3.803998000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=66927 TSecr=66926"
"14","3.806091000","10.0.0.2","10.0.0.1","TCP","74","57230 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=66927 TSecr=0 WS=512"
"15","3.806105000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 57230 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=66927 TSecr=66927 WS=512"
"16","3.807477000","10.0.0.2","10.0.0.1","HTTP","466","GET / HTTP/1.1 "
"17","3.807491000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 57228 [ACK] Seq=1 Ack=401 Win=30208 Len=0 TSval=66927 TSecr=66927"
"18","3.808315000","10.0.0.1","10.0.0.2","TCP","83","[TCP segment of a reassembled PDU]"
"19","3.808325000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [ACK] Seq=401 Ack=18 Win=29696 Len=0 TSval=66928 TSecr=66928"
"20","3.808338000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"21","3.808343000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [ACK] Seq=401 Ack=55 Win=29696 Len=0 TSval=66928 TSecr=66928"
"22","3.808359000","10.0.0.1","10.0.0.2","TCP","103","[TCP segment of a reassembled PDU]"
"23","3.808363000","10.0.0.2","10.0.0.1","TCP","66","57228 > irdmi [ACK] Seq=401 Ack=92 Win=29696 Len=0 TSval=66928 TSecr=66928"
"24","3.808371000","10.0.0.1","10.0.0.2","TCP","106","[TCP segment of a reassembled PDU]"
